zHD,MU
0.806,42.98756063811064
0.807,42.99050950236375
0.808,42.993454849784804
0.809,42.99639668884794
0.81,42.99933502799631
0.811,43.00226987564226
0.812,43.00520124016749
0.8130000000000001,43.00812912992315
0.8140000000000001,43.01105355323004
0.8150000000000001,43.013974518378745
0.8160000000000001,43.01689203362978
0.8170000000000001,43.01980610721372
0.8180000000000001,43.02271674733136
0.8190000000000001,43.02562396215389
0.8200000000000001,43.02852775982297
0.8210000000000001,43.03142814845094
0.8220000000000001,43.03432513612091
0.8230000000000001,43.037218730886934
0.8240000000000001,43.040108940774154
0.8250000000000001,43.042995773778905
0.8260000000000001,43.04587923786888
0.8270000000000001,43.04875934098327
0.8280000000000001,43.05163609103287
0.8290000000000001,43.05450949590027
0.8300000000000001,43.05737956343994
0.8310000000000001,43.06024630147837
0.8320000000000001,43.06310971781424
0.833,43.06596982021851
0.834,43.06882661643459
0.835,43.071680114178434
0.836,43.074530321138695
0.837,43.077377244976844
0.838,43.080220893327294
0.839,43.08306127379757
0.84,43.085898393968364
0.841,43.088732261393716
0.842,43.09156288360114
0.843,43.094390268091715
0.844,43.09721442234022
0.845,43.10003535379529
0.846,43.1028530698795
0.847,43.10566757798951
0.848,43.108478885496154
0.849,43.11128699974462
0.85,43.114091928054506
0.851,43.116893677719986
0.852,43.1196922560099
0.853,43.122487670167885
0.854,43.1252799274125
0.855,43.12806903493732
0.856,43.130854999911065
0.857,43.13363782947772
0.858,43.136417530756646
0.859,43.13919411084269
0.86,43.141967576806294
0.861,43.14473793569361
0.862,43.147505194526644
0.863,43.1502693603033
0.864,43.15303043999756
0.865,43.15578844055955
0.866,43.15854336891566
0.867,43.161295231968666
0.868,43.164044036597815
0.869,43.166789789658964
0.87,43.16953249798464
0.871,43.17227216838421
0.872,43.17500880764392
0.873,43.17774242252704
0.874,43.18047301977397
0.875,43.18320060610233
0.876,43.18592518820705
0.877,43.18864677276051
0.878,43.1913653664126
0.879,43.19408097579087
0.88,43.19679360750058
0.881,43.19950326812484
0.882,43.20220996422468
0.883,43.20491370233918
0.884,43.20761448898553
0.885,43.210312330659164
0.886,43.21300723383385
0.887,43.215699204961766
0.888,43.21838825047361
0.889,43.221074376778716
0.89,43.223757590265116
0.891,43.22643789729965
0.892,43.22911530422805
0.893,43.231789817375066
0.894,43.23446144304452
0.895,43.237130187519426
0.896,43.23979605706206
0.897,43.24245905791406
0.898,43.24511919629655
0.899,43.24777647841017
0.9,43.25043091043519
0.901,43.253082498531654
0.902,43.25573124883938
0.903,43.2583771674781
0.904,43.26102026054756
0.905,43.26366053412756
0.906,43.26629799427808
0.907,43.26893264703935
0.908,43.27156449843196
0.909,43.2741935544569
0.91,43.2768198210957
0.911,43.27944330431046
0.912,43.28206401004399
0.913,43.28468194421984
0.914,43.287297112742436
0.915,43.28990952149711
0.916,43.292519176350226
0.917,43.29512608314924
0.918,43.2977302477228
0.919,43.30033167588078
0.92,43.30293037341444
0.921,43.30552634609643
0.922,43.30811959968092
0.923,43.31071013990364
0.924,43.313297972482005
0.925,43.315883103115155
0.926,43.318465537484045
0.927,43.321045281251536
0.928,43.32362234006245
0.929,43.32619671954367
0.93,43.32876842530419
0.931,43.331337462935224
0.932,43.33390383801026
0.933,43.33646755608512
0.934,43.33902862269808
0.935,43.3415870433699
0.936,43.34414282360393
0.937,43.34669596888618
0.9380000000000001,43.34924648468535
0.9390000000000001,43.35179437645297
0.9400000000000001,43.35433964962343
0.9410000000000001,43.35688230961405
0.9420000000000001,43.35942236182518
0.9430000000000001,43.36195981164026
0.9440000000000001,43.36449466442586
0.9450000000000001,43.36702692553181
0.9460000000000001,43.36955660029121
0.9470000000000001,43.372083694020546
0.9480000000000001,43.37460821201972
0.9490000000000001,43.377130159572175
0.9500000000000001,43.37964954194491
0.9510000000000001,43.38216636438855
0.9520000000000001,43.38468063213746
0.9530000000000001,43.38719235040977
0.9540000000000001,43.389701524407464
0.9550000000000001,43.39220815931644
0.9560000000000001,43.39471226030658
0.9570000000000001,43.39721383253179
0.9580000000000001,43.39971288113012
0.9590000000000001,43.402209411223794
0.96,43.40470342791926
0.961,43.407194936307306
0.962,43.40968394146306
0.963,43.41217044844612
0.964,43.414654462300575
0.965,43.417135988055065
0.966,43.41961503072289
0.967,43.422091595302014
0.968,43.424565686775175
0.969,43.42703731010993
0.97,43.4295064702587
0.971,43.43197317215886
0.972,43.43443742073279
0.973,43.43689922088792
0.974,43.43935857751684
0.975,43.441815495497266
0.976,43.44426997969222
0.977,43.44672203495
0.978,43.44917166610426
0.979,43.45161887797412
0.98,43.45406367536414
0.981,43.45650606306443
0.982,43.45894604585072
0.983,43.4613836284844
0.984,43.46381881571255
0.985,43.46625161226804
0.986,43.46868202286957
0.987,43.47111005222174
0.988,43.47353570501507
0.989,43.475958985926106
0.99,43.47837989961743
0.991,43.48079845073776
0.992,43.483214643921954
0.993,43.48562848379112
0.994,43.48803997495263
0.995,43.4904491220002
0.996,43.49285592951392
0.997,43.49526040206034
0.998,43.49766254419248
0.999,43.50006236044994
